Group,Sample,Folder_name,File_name,fastq_1,fastq_2
shMSI2_Ribo-01,shMSI2_Ribo-01-02,Sample_Molm13_shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22,shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22_S73,Molm13_shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22_S73_L002_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22_S73_L002_R2_001.fastq.gz
shMSI2_Ribo-01,shMSI2_Ribo-01-03,Sample_Molm13_shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22,shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22_S73,Molm13_shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22_S73_L003_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22_S73_L003_R2_001.fastq.gz
shMSI2_Ribo-01,shMSI2_Ribo-01-04,Sample_Molm13_shMSI2-C_RiboSTAMP_r1_IGO_14706_C_38,shMSI2-C_RiboSTAMP_r1_IGO_14706_C_38_S38,Molm13_shMSI2-C_RiboSTAMP_r1_IGO_14706_C_38_S38_L004_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r1_IGO_14706_C_38_S38_L004_R2_001.fastq.gz
shMSI2_Ribo-01,shMSI2_Ribo-01-04,Sample_Molm13_shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22,shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22_S73,Molm13_shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22_S73_L004_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22_S73_L004_R2_001.fastq.gz
shMSI2_Ribo-02,shMSI2_Ribo-02-01,Sample_Molm13_shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23,shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23_S31,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23_S31_L001_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23_S31_L001_R2_001.fastq.gz
shMSI2_Ribo-02,shMSI2_Ribo-02-01,Sample_Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35,shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S29,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S29_L001_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S29_L001_R2_001.fastq.gz
shMSI2_Ribo-02,shMSI2_Ribo-02-01,Sample_Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35,shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S30,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S30_L001_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S30_L001_R2_001.fastq.gz
shMSI2_Ribo-02,shMSI2_Ribo-02-02,Sample_Molm13_shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23,shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23_S31,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23_S31_L002_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23_S31_L002_R2_001.fastq.gz
shMSI2_Ribo-02,shMSI2_Ribo-02-02,Sample_Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35,shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S29,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S29_L002_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S29_L002_R2_001.fastq.gz
shMSI2_Ribo-02,shMSI2_Ribo-02-02,Sample_Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35,shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S30,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S30_L002_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S30_L002_R2_001.fastq.gz
shMSI2_Ribo-02,shMSI2_Ribo-02-03,Sample_Molm13_shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23,shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23_S31,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23_S31_L003_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23_S31_L003_R2_001.fastq.gz
shMSI2_Ribo-02,shMSI2_Ribo-02-03,Sample_Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35,shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S29,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S29_L003_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_14706_C_35_S29_L003_R2_001.fastq.gz
shMSI2_Ribo-02,shMSI2_Ribo-02-04,Sample_Molm13_shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23,shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23_S31,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23_S31_L004_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r2_IGO_13289_C_23_S31_L004_R2_001.fastq.gz
shMSI2_Ribo-03,shMSI2_Ribo-03-01,Sample_Molm13_shMSI2-C_RiboSTAMP_r3_IGO_14706_C_30,shMSI2-C_RiboSTAMP_r3_IGO_14706_C_30_S7,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_14706_C_30_S7_L001_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_14706_C_30_S7_L001_R2_001.fastq.gz
shMSI2_Ribo-03,shMSI2_Ribo-03-01,Sample_Molm13_shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24,shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24_S32,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24_S32_L001_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24_S32_L001_R2_001.fastq.gz
shMSI2_Ribo-03,shMSI2_Ribo-03-02,Sample_Molm13_shMSI2-C_RiboSTAMP_r3_IGO_14706_C_30,shMSI2-C_RiboSTAMP_r3_IGO_14706_C_30_S7,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_14706_C_30_S7_L002_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_14706_C_30_S7_L002_R2_001.fastq.gz
shMSI2_Ribo-03,shMSI2_Ribo-03-02,Sample_Molm13_shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24,shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24_S32,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24_S32_L002_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24_S32_L002_R2_001.fastq.gz
shMSI2_Ribo-03,shMSI2_Ribo-03-03,Sample_Molm13_shMSI2-C_RiboSTAMP_r3_IGO_14706_C_30,shMSI2-C_RiboSTAMP_r3_IGO_14706_C_30_S7,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_14706_C_30_S7_L003_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_14706_C_30_S7_L003_R2_001.fastq.gz
shMSI2_Ribo-03,shMSI2_Ribo-03-03,Sample_Molm13_shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24,shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24_S32,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24_S32_L003_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24_S32_L003_R2_001.fastq.gz
shMSI2_Ribo-03,shMSI2_Ribo-03-04,Sample_Molm13_shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24,shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24_S32,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24_S32_L004_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r3_IGO_13289_C_24_S32_L004_R2_001.fastq.gz
shSYN_MIB-01,shSYN_MIB-01-01,Sample_Molm13_shSYN_MIB_r1_IGO_14706_C_31,shSYN_MIB_r1_IGO_14706_C_31_S4,Molm13_shSYN_MIB_r1_IGO_14706_C_31_S4_L001_R1_001.fastq.gz,Molm13_shSYN_MIB_r1_IGO_14706_C_31_S4_L001_R2_001.fastq.gz
shSYN_MIB-01,shSYN_MIB-01-02,Sample_Molm13_shSYN_MIB_r1_IGO_14706_C_31,shSYN_MIB_r1_IGO_14706_C_31_S4,Molm13_shSYN_MIB_r1_IGO_14706_C_31_S4_L002_R1_001.fastq.gz,Molm13_shSYN_MIB_r1_IGO_14706_C_31_S4_L002_R2_001.fastq.gz
